,User,App,Slice,Throughput
0,0,1,1,553.0875057792
1,0,2,1,829.6312586688
2,1,1,1,563.8106293344
3,1,2,1,1165.7165690016
4,2,1,1,601.9059396672001
5,2,2,1,1219.0500000000002
6,3,1,1,563.8106293344
7,3,2,1,1127.6212586688
8,4,1,1,739.0490603328001
9,4,2,1,1302.8596896672002
10,5,1,1,563.8106293344
11,5,2,1,1001.20125
12,6,3,2,10200.513793344
13,6,4,2,0.0
14,7,3,2,3128.8949999999995
15,7,4,2,0.0
16,8,3,2,9021.2522156736
17,8,4,2,0.0
18,9,3,2,10273.3181235552
19,9,4,2,899.6137471104
20,10,3,2,10807.499037216001
21,10,4,2,653.54625
22,11,5,3,7795.147552012801
23,12,5,3,0.0
24,13,5,3,20304.801595008
25,14,5,3,20314.96033056
