,User,App,Slice,Throughput
0,0,1,1,110.05313222399998
1,0,2,1,0.0
2,1,1,1,563.8106293344
3,1,2,1,1043.8115690016
4,2,1,1,624.1987528896
5,2,2,1,1104.1996925568
6,3,1,1,998.9437471104001
7,3,2,1,899.6137471104
8,4,1,1,998.9437471104001
9,4,2,1,899.6137471104
10,5,1,1,553.0875057792
11,5,2,1,1059.8962528896
12,6,3,2,10380.831618124801
13,6,4,2,480.00093966720004
14,7,3,2,10538.5743735552
15,7,4,2,653.54625
16,8,3,2,4447.275
17,8,4,2,0.0
18,9,3,2,10018.784988441601
19,9,4,2,998.9437471104001
20,10,3,2,10602.3487442208
21,10,4,2,998.9437471104001
22,11,5,3,2986.6725404544004
23,12,5,3,15800.2425231168
24,13,5,3,20029.668845356802
25,14,5,3,20276.865
