,User,App,Slice,Throughput
0,0,1,1,653.54625
1,0,2,1,1307.0925
2,1,1,1,1478.0981206656002
3,1,2,1,1478.0981206656002
4,2,1,1,739.0490603328001
5,2,2,1,2217.1471809984005
6,3,1,1,480.00093966720004
7,3,2,1,1367.1984454464
8,4,1,1,450.3712528896
9,4,2,1,675.5568793344
10,5,1,1,739.0490603328001
11,5,2,1,2080.0040603328002
12,6,3,2,13028.596888003201
13,6,4,2,3344.7684483360003
14,7,3,2,11840.0232160224
15,7,4,2,0.0
16,8,3,2,10798.7512413312
17,8,4,2,2699.6878103328
18,9,3,2,11763.8325
19,9,4,2,3164.4506293344
20,10,3,2,10400.020301664
21,10,4,2,2733.5503103328
22,11,5,3,0.0
23,12,5,3,23391.932772768003
24,13,5,3,7984.495373904
25,14,5,3,9790.495301664001
