,User,App,Slice,Throughput
0,0,1,1,0.0
1,0,2,1,0.0
2,1,1,1,10165.635342347521
3,1,2,1,18082.23631691904
4,2,1,1,5676.96345509664
5,2,2,1,11126.11694989536
6,3,1,1,0.0
7,3,2,1,0.0
8,4,1,1,4568.3898645974405
9,4,2,1,5159.62911286368
10,5,1,1,0.0
11,5,2,1,0.0
12,6,3,2,0.0
13,6,4,2,0.0
14,7,3,2,0.0
15,7,4,2,0.0
16,8,3,2,0.0
17,8,4,2,0.0
18,9,3,2,9176.511721681922
19,9,4,2,10160.358446427841
20,10,3,2,11425.094588302081
21,10,4,2,10615.44221590272
22,11,5,3,0.0
23,12,5,3,0.0
24,13,5,3,0.0
25,14,5,3,20717.416125
