Simulation,Proposed_HSRS_Total_Throughput,Proposed_HSRS_PRB_Usage (%),Proposed_HSRS_Time_Taken,Proposed_HSRS_Violations_S1,Proposed_HSRS_Violations_S2,Proposed_HSRS_Violations_S3,Proposed_HSRS_Total_Violations,Optimal_ILP_Total_Throughput,Optimal_ILP_PRB_Usage (%),Optimal_ILP_Time_Taken,Optimal_ILP_Violations_S1,Optimal_ILP_Violations_S2,Optimal_ILP_Violations_S3,Optimal_ILP_Total_Violations,ADSS_Total_Throughput,ADSS_PRB_Usage (%),ADSS_Time_Taken,ADSS_Violations_S1,ADSS_Violations_S2,ADSS_Violations_S3,ADSS_Total_Violations,BestCQI_Total_Throughput,BestCQI_PRB_Usage (%),BestCQI_Time_Taken,BestCQI_Violations_S1,BestCQI_Violations_S2,BestCQI_Violations_S3,BestCQI_Total_Violations,NVS_Total_Throughput,NVS_PRB_Usage (%),NVS_Time_Taken,NVS_Violations_S1,NVS_Violations_S2,NVS_Violations_S3,NVS_Total_Violations,Min_required_datarate_KB,Optimal_ILP_Violation_Rate_S1,Optimal_ILP_Violation_Rate_S2,Optimal_ILP_Violation_Rate_S3,BestCQI_Violation_Rate_S1,BestCQI_Violation_Rate_S2,BestCQI_Violation_Rate_S3,NVS_Violation_Rate_S1,NVS_Violation_Rate_S2,NVS_Violation_Rate_S3,Proposed_HSRS_Violation_Rate_S1,Proposed_HSRS_Violation_Rate_S2,Proposed_HSRS_Violation_Rate_S3,ADSS_Violation_Rate_S1,ADSS_Violation_Rate_S2,ADSS_Violation_Rate_S3,Optimal_ILP_Violation_gap_S1,Optimal_ILP_Violation_gap_S2,Optimal_ILP_Violation_gap_S3,BestCQI_Violation_gap_S1,BestCQI_Violation_gap_S2,BestCQI_Violation_gap_S3,NVS_Violation_gap_S1,NVS_Violation_gap_S2,NVS_Violation_gap_S3,Proposed_HSRS_Violation_gap_S1,Proposed_HSRS_Violation_gap_S2,Proposed_HSRS_Violation_gap_S3,ADSS_Violation_gap_S1,ADSS_Violation_gap_S2,ADSS_Violation_gap_S3,Proposed_HSRS_App_1_Throughput,Proposed_HSRS_App_2_Throughput,Proposed_HSRS_App_3_Throughput,Proposed_HSRS_App_4_Throughput,Proposed_HSRS_App_5_Throughput,Optimal_ILP_App_1_Throughput,Optimal_ILP_App_2_Throughput,Optimal_ILP_App_3_Throughput,Optimal_ILP_App_4_Throughput,Optimal_ILP_App_5_Throughput,BestCQI_App_1_Throughput,BestCQI_App_2_Throughput,BestCQI_App_3_Throughput,BestCQI_App_4_Throughput,BestCQI_App_5_Throughput,NVS_App_1_Throughput,NVS_App_2_Throughput,NVS_App_3_Throughput,NVS_App_4_Throughput,NVS_App_5_Throughput,ADSS_App_1_Throughput,ADSS_App_2_Throughput,ADSS_App_3_Throughput,ADSS_App_4_Throughput,ADSS_App_5_Throughput
1,146.68557756068162,97.6,0.04927229881286621,0,0,0,0,146.05178433888005,87.2,6.596511602401733,0,0,0,0,119.96778290568962,77.60000000000001,0.6136960983276367,0,6,4,10,247.478437008768,100.0,0.037166595458984375,10,6,4,20,90.73202927127362,71.2,0.026847362518310547,0,5,4,9,137.9,0.0,0.0,0.0,83.33333333333334,60.0,100.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0,60.0,100.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.6355040491909121,0.62889874554292,0.0,0.0,0.0,0.0,0.7216220296848,0.46123351580559996,609.7601590192,1225.8695349824002,10206.66545238144,565.3344379334401,20452.9499862744,594.0046896672001,1331.313594352,10399.907455848961,384.22650057792,20144.8012131576,2998.712490368,2998.712490368,20918.22071012352,21380.55671474688,0.0,2131.8795383536003,2127.4115718912003,3644.9595080908803,3452.6769425567995,7422.0250891416,887.4326575744002,1661.755160464,9390.91782651456,2923.34962586688,10775.329683888001
2,130.0579614869472,100.0,0.04575920104980469,0,0,1,1,133.34713893493446,100.0,4.485364198684692,0,1,1,2,118.11635077670402,79.2,0.08248353004455566,0,5,4,9,226.980336893184,100.0,0.03493022918701172,10,6,3,19,88.30606335472322,71.2,0.02277970314025879,0,5,4,9,137.9,0.0,10.0,25.0,83.33333333333334,60.0,75.0,0.0,50.0,100.0,0.0,0.0,25.0,0.0,50.0,100.0,0.0,0.0002108289200798404,0.11007379952607999,1.0,1.0,1.0,0.0,0.623031361546432,0.7108318861679199,0.0,0.0,0.8069414202496,0.0,0.698623747919488,0.48775914044439994,717.8850004816,1135.8046896672001,10262.482153607041,583.2815638003201,16176.751189754401,571.7589095008,1028.1031288528,10054.058466829441,391.50693908928,17880.0349188048,3580.0187394048003,4578.9624865152,13116.300718792321,15292.07921185728,8996.137471104,2398.6407883536,2361.6271949648003,3769.6863845356797,3552.5148851136,5783.3622766416,969.2200014448,1491.1728146672,10700.04208980672,1774.90293331008,10244.817191112
3,126.962646681696,100.0,0.04377317428588867,0,0,1,1,135.26883565245137,100.0,2.867326259613037,0,3,4,7,113.67754124422082,82.39999999999999,0.08529472351074219,0,4,3,7,218.399014967616,100.0,0.03353095054626465,6,8,4,18,87.46740204693121,80.80000000000001,0.024941205978393555,0,5,4,9,137.9,0.0,30.0,100.0,50.0,80.0,100.0,0.0,50.0,100.0,0.0,0.0,25.0,0.0,40.0,75.0,0.0,0.0006437490483353133,0.0917583672416799,1.0,1.0,0.84295207467928,0.0,0.7274463805131519,0.74426757736648,0.0,0.0,0.9023490153721601,0.0,0.72165024971104,0.7168248433887999,658.484533056,1160.7312514448001,10183.30032651456,447.71868908928,15723.064224168002,672.7349995184001,1117.603594352,9996.6615057792,376.83318793344,18164.8326551664,11532.909027584,10115.904501270401,8373.518974571522,6814.94097919488,3140.9585064144003,3292.9400038528,3251.4114085376,2725.5361948684804,2823.00375751296,5114.648452670401,1073.0179679072,1657.3812504816003,9354.79781726784,2442.84074884416,9576.738275832002
4,126.0229623832704,100.0,0.04636073112487793,0,0,1,1,127.75869754045434,100.0,0.33565783500671387,0,0,1,1,123.78577977635521,82.39999999999999,0.08116650581359863,0,4,3,7,227.42054930649599,100.0,0.03392219543457031,6,6,4,16,80.54477833160641,71.2,0.023195266723632812,0,5,4,9,137.9,0.0,0.0,25.0,50.0,60.0,100.0,0.0,50.0,100.0,0.0,0.0,25.0,0.0,40.0,75.0,0.0,0.0,0.23459256148864002,1.0,1.0,1.0,0.0,0.6453975430420479,0.7479430694998,0.0,0.0,0.9559787471104,0.0,0.63690934165504,0.6904403117776,588.9723462784001,1036.0984425568001,10283.02538626944,616.41037528896,15443.839710616801,594.3339075744001,1210.2081259632002,10460.239129912321,476.67112528895996,15561.723515805601,11156.517935158401,6427.5257618656005,11772.185213591041,12611.072211279361,0.0,2125.8125052976,2186.0595359456,3546.02456957952,3355.77375924672,5041.138610004,1363.2948467600002,1740.4384415936001,10517.184573624962,2537.48643562176,9972.50625
5,104.8428151098048,100.0,0.04592180252075195,0,2,2,4,109.2576386563871,100.0,10.133592367172241,0,0,2,2,105.67639689956161,82.39999999999999,0.08548402786254883,0,5,3,8,181.34215266988798,100.0,0.03448891639709473,8,6,3,17,99.4595243290656,100.0,0.023328065872192383,1,5,4,10,137.9,0.0,0.0,50.0,66.66666666666666,60.0,75.0,8.333333333333332,50.0,100.0,0.0,20.0,50.0,0.0,50.0,75.0,0.0,0.0,0.16444731598183993,1.0,1.0,0.934645375,0.0367999935786667,0.734619587008768,0.79845463221652,0.0,0.65460249971104,0.88799977973296,0.0,0.88856415545536,0.7536503132224,594.851254816,1145.7282849824,9529.866939667201,417.58106206656004,11165.5244655864,600.3539075744001,1102.647660464,10077.084955271039,337.77843793344,15655.104094044802,1847.6226508320003,1847.6226508320003,10880.52916019328,9061.604975727361,14865.0025450752,4788.157514448,4676.505326707201,2653.80412991232,2655.7794419788797,4030.9073556696003,1068.8792212784,1645.2942212784,8655.53718504384,1835.6296844659198,9233.880474168
6,125.9058547058592,100.0,0.04708743095397949,0,0,1,1,128.31940414124193,100.0,10.111266374588013,0,0,1,1,119.65935194001601,80.80000000000001,0.08190178871154785,0,3,4,7,209.608874364288,100.0,0.033449411392211914,8,4,4,16,77.1153536159328,71.2,0.021886825561523438,0,5,4,9,137.9,0.0,0.0,25.0,66.66666666666666,40.0,100.0,0.0,50.0,100.0,0.0,0.0,25.0,0.0,30.0,100.0,0.0,0.0,0.18189757460704,1.0,1.0,1.0,0.0,0.6372479683310079,0.78430292873032,0.0,0.0,0.99507582801664,0.0,0.930469,0.5432795301664,585.6331283712001,1094.9815646672002,10390.990315534082,560.3115,15266.4143674896,584.316252408,1033.4176590192,10117.607058599042,489.8210620665601,16393.9650173376,8306.5182560864,6444.5040429952,12184.17896301312,12036.36915094656,0.0,2006.8234425568,1939.66281852,3627.52031668992,3608.6137528895997,4313.9414253936,1037.0860929072,1773.9717188704,10328.73974826624,2922.33374826624,9134.409396672
7,103.3443996827424,100.0,0.04418635368347168,0,2,3,5,115.35853239771843,100.0,0.5246624946594238,0,1,3,4,107.510333650608,84.0,0.08598804473876953,1,4,3,8,201.278699508768,100.0,0.034870147705078125,7,6,4,17,94.6643123185536,100.0,0.02426910400390625,2,5,4,11,137.9,0.0,10.0,75.0,58.333333333333336,60.0,100.0,16.666666666666664,50.0,100.0,0.0,20.0,75.0,8.333333333333332,40.0,75.0,0.0,0.0002108289200798404,0.10535323792907998,0.8962625,1.0,0.81454990269592,0.5628445025546667,0.690304861662016,0.78196782718588,0.0,0.51192849826624,0.6685801872592,1.0,0.80270860753288,0.7567825933888,598.4726633536001,1048.4206384848,10236.46446914112,463.69050057792003,9990.5662557792,531.9234449648001,1238.2387605952,10129.34607535872,503.81756437824004,17190.5803218912,5248.6874884416,3841.8417097200004,13212.978154414082,13166.925152680322,3709.0019460816,4057.1508047280004,3916.57439908,3096.95138337984,2778.92607073536,4360.643456282401,696.2976628719999,1285.3170354640001,8723.544396094081,2913.0780011558404,9359.3833685856
8,117.58640270227201,100.0,0.04536700248718262,0,0,2,2,126.4092771249502,100.0,10.103872776031494,0,0,2,2,116.76523698624963,79.2,0.08417344093322754,0,2,3,5,202.21556195097602,100.0,0.03383302688598633,6,7,4,17,76.79563514159041,71.2,0.022924423217773438,0,5,4,9,137.9,0.0,0.0,50.0,50.0,70.0,100.0,0.0,50.0,100.0,0.0,0.0,50.0,0.0,20.0,75.0,0.0,0.0,0.20538213928856003,1.0,0.9357418752064,0.8521901879334399,0.0,0.677606424075328,0.80499080039296,0.0,0.0,0.68756199913312,0.0,0.70103645128288,0.740274625,636.4268764448001,1265.8931283712002,10186.855886847361,512.62181380032,13168.7735425344,601.0593764448,1168.1151580560002,10092.77458056,299.17519024512,15958.62026598,12645.856530473602,10357.409973993601,5237.1177958848,5237.1177958848,2956.1962413312003,2259.099066112,2501.592188704,3223.93575924672,3302.2145695795202,3900.1839921408,1154.1939070928001,1612.0901599824,10399.907443134722,2484.5480632224003,8936.3137630032
9,120.38965338939839,100.0,0.04416179656982422,0,0,2,2,126.24617271672014,100.0,7.687524795532227,0,0,3,3,112.4009251531488,80.80000000000001,0.08168339729309082,0,4,3,7,210.45261496761603,100.0,0.03466916084289551,6,10,3,19,78.68459839806721,80.80000000000001,0.023107051849365234,0,5,4,9,137.9,0.0,0.0,75.0,50.0,100.0,75.0,0.0,50.0,100.0,0.0,0.0,50.0,0.0,40.0,75.0,0.0,0.0,0.20624937833735993,1.0,1.0,0.8645076722723201,0.0,0.676680848670784,0.78068740182904,0.0,0.0,0.6283872782881599,0.0,0.6578194344659201,0.76229935861648,652.4175019264,1310.7609382224,10090.17846336192,488.69231437824,13929.0572149512,614.6043759632,1095.4048462784,10093.39541516544,394.04662760064,15887.226792360001,13387.539333100802,13103.7998029344,0.0,0.0,12876.1450378512,2532.3036010944,2245.8362586688,3233.1915132921604,3260.9587638700805,4386.2519634192,1056.5570316112,1616.4170325744,9991.299960472319,2115.22106206656,8957.618913835202
10,110.91944081426881,100.0,0.04555249214172363,0,0,2,2,117.52037096452794,100.0,10.107319355010986,0,0,1,1,105.95519823624959,80.80000000000001,0.08298873901367188,0,5,3,8,198.85753077321598,100.0,0.03273129463195801,6,6,3,15,79.90421278896001,80.80000000000001,0.02155923843383789,0,5,4,9,137.9,0.0,0.0,25.0,50.0,60.0,75.0,0.0,50.0,100.0,0.0,0.0,50.0,0.0,50.0,75.0,0.0,0.0,0.06451815415504,1.0,1.0,1.0,0.0,0.6627859366042239,0.83523424536232,0.0,0.0,0.85705792082752,0.0,0.7995057801664001,0.8348262497110399,615.7331278896,1175.2168807792002,10362.545827670401,469.39068735552,11503.5145467816,510.1009396672,1037.3682854639999,10207.85065360704,448.17018735552,18318.483802976003,8729.7524768832,7714.912167032001,7426.10266770624,7383.43591423872,6535.4625,2947.6836049472004,2725.6961044656005,3372.14063395776,3164.3941983360005,3295.3150927536,875.1574999999999,1440.8493764448,9518.97451502592,2345.42962702272,8184.2840668344
